Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2538,Super Luxury (Non AC Seater 2+2 Push Back),00:15,04h 00m,04:15,3.8,INR 281,34 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2837,Super Luxury (Non AC Seater 2+2 Push Back),00:30,03h 00m,03:30,4.4,INR 281,34 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 23551,Super Luxury (Non AC Seater 2+2 Push Back),00:45,04h 00m,04:45,2.9,INR 281,34 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2536,INDRA(A.C. Seater),01:15,03h 15m,04:30,3.7,INR 340,36 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 23537,Super Luxury (Non AC Seater 2+2 Push Back),01:30,04h 00m,05:30,4.7,INR 281,32 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 3712,Super Luxury (Non AC Seater 2+2 Push Back),01:45,04h 10m,05:55,3.8,INR 281,31 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 24263,Super Luxury (Non AC Seater 2+2 Push Back),02:00,03h 00m,05:00,3.8,INR 281,34 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 98662,Super Luxury (Non AC Seater 2+2 Push Back),02:05,03h 45m,05:50,3.8,INR 281,27 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 3714,Super Luxury (Non AC Seater 2+2 Push Back),03:25,03h 55m,07:20,3.8,INR 281,31 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2651,Super Luxury (Non AC Seater 2+2 Push Back),04:00,03h 00m,07:00,3.7,INR 281,33 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2653,Super Luxury (Non AC Seater 2+2 Push Back),04:40,03h 00m,07:40,3.3,INR 281,32 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2855,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",05:00,04h 30m,09:30,4.1,INR 269,34 Seats available
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,APSRTC - 2214,Super Luxury (Non AC Seater 2+2 Push Back),05:15,04h 00m,09:15,4.3,INR 281,33 Seats available
